"path","name","length","last_write_time","sha256"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\ChknMiner-macOS-FleetMGR-Package-arm64-vendor-rebuilt-canonical-20260619-153404.zip","ChknMiner-macOS-FleetMGR-Package-arm64-vendor-rebuilt-canonical-20260619-153404.zip","3370938","2026-06-19 15:40:52","E0AF230565AD6BC0A213BE7ABC5BD37F0166E971A06A657AE224C06E183F702E"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\EXPORT_MANIFEST_SHA256_20260619-154052.txt","EXPORT_MANIFEST_SHA256_20260619-154052.txt","817","2026-06-19 15:40:52","A97AD9D712F5F10EB3A083D26FB9025168331518370D9E714E7F93F6443E4134"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\MACMINI2_REBUILD_CANONICAL_PACKAGE_MANIFEST_20260619-153404.txt","MACMINI2_REBUILD_CANONICAL_PACKAGE_MANIFEST_20260619-153404.txt","0","2026-06-19 15:40:52","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\MACMINI2_REBUILD_CANONICAL_PACKAGE_NO_INSTALL_20260619-153404.json","MACMINI2_REBUILD_CANONICAL_PACKAGE_NO_INSTALL_20260619-153404.json","1894","2026-06-19 15:40:52","A31F0583001F5D09D1C8455109964203215F15C097A278D220EFA0AB7A40A2B3"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\MACMINI2_REBUILD_CANONICAL_PACKAGE_NO_INSTALL_20260619-153404.txt","MACMINI2_REBUILD_CANONICAL_PACKAGE_NO_INSTALL_20260619-153404.txt","4500","2026-06-19 15:40:52","5536F45BE50DEBA69FFEF1D5CF4CBCAFC80CEB906EBD2961532373C3F27C932C"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\extracted\MacMini2CanonicalPatchedPackageExport_20260619-154052\README_MACMINI2_CANONICAL_PATCHED_PACKAGE_20260619-154052.txt","README_MACMINI2_CANONICAL_PATCHED_PACKAGE_20260619-154052.txt","1015","2026-06-19 15:40:52","3A7379A81F8D1D24CC8B21BB59B35743F467E9932466FC4A09743E70B733257D"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2CanonicalPatchedPackageImport_20260619-160146\MacMini2CanonicalPatchedPackageExport_20260619-154052.zip","MacMini2CanonicalPatchedPackageExport_20260619-154052.zip","3376247","2026-06-19 16:01:37","93CEDA64B878E51C3EEE11092CF7757AE6B368BE77AAF0EEF3E8C3C14AC5A77A"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2ExtractedVendorSearch_20260619-144923\extracted\001_ChKn_miner_installer_macos_arm64\ChKn_miner_installer_macos_arm64.sh","ChKn_miner_installer_macos_arm64.sh","3377481","2026-06-17 11:02:20","11F3C6792167A7B6010301F7CE271B26E628B420A76D006AA2DCC45F1CC355E6"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2ExtractedVendorSearch_20260619-144923\extracted\001_ChKn_miner_installer_macos_arm64\ChKn_miner_installer_macos_x64.sh","ChKn_miner_installer_macos_x64.sh","3380741","2026-06-17 11:02:22","5F787685DB0EA5081899BC212E9AC49FC8DB6DA2D6BF26C540636D8AFE2DB23C"
"C:\ProgramData\LabDeploy\Surface-Orchestrator\mac-transfer\MacMini2ExtractedVendorSearch_20260619-144923\extracted\002_ChKn_miner_installer_macos_x64\ChKn_miner_installer_macos_x64.sh","ChKn_miner_installer_macos_x64.sh","3380741","2026-06-17 11:02:22","5F787685DB0EA5081899BC212E9AC49FC8DB6DA2D6BF26C540636D8AFE2DB23C"
