"Name","Length","LastWriteTime"
"ChKn_miner_installer_x64.exe","2919632","2/23/2026 9:57:04 AM"
"README-WINDOWS-INSTALL.txt","153","6/17/2026 3:06:21 PM"
"SHA256SUMS.txt","1020","6/17/2026 3:06:21 PM"
"chicken-miner-windows-install-agent-prompt.md","907","6/17/2026 3:06:20 PM"
"chicken-miner-health.schema.json","66","6/17/2026 3:06:20 PM"
"emit-chicken-health-json.ps1","704","6/17/2026 3:06:20 PM"
"read-chicken-status.ps1","392","6/17/2026 3:06:20 PM"
"watch-chicken-miner.ps1","735","6/17/2026 3:06:20 PM"
"Set-ChickenMiner-Recommended-Windows-Power.ps1","1083","6/17/2026 3:06:20 PM"
"chicken-windows-thermal-status.ps1","1100","6/17/2026 3:06:20 PM"
